id	stopCount	streetCount	wkt	hadRemoved
0	1966	34203	POLYGON ((-2.3124237 42.6833975, -2.7511034 42.7327258, -2.7478536 42.8687172, -2.6905001 43.2554725, -2.6380096 43.3592783, -2.5850563 43.3799419, -1.7924073 43.3932406, -1.7024474 43.3906503, -1.692353 43.3629759, -1.6927572 43.3116043, -1.9153986 43.0804285, -2.3124237 42.6833975))	false
1	1	3026	POLYGON ((-1.5447413 43.3653487, -1.5654143 43.4565549, -1.5640892 43.4796166, -1.5624289 43.4836599, -1.5294174 43.525569, -1.4977777 43.5574474, -1.4967805 43.5576473, -1.4747967 43.5516116, -1.4607766 43.5408844, -1.4672956 43.5044854, -1.4751423 43.478889, -1.4873943 43.4472221, -1.5447413 43.3653487))	false
2	0	4	POLYGON ((-2.5457184 43.1288111, -2.5467945 43.1288147, -2.5465957 43.1292967, -2.5455865 43.1292711, -2.5457184 43.1288111))	true
3	1	3644	POLYGON ((-2.9392864 43.2279601, -3.0103392 43.235633, -3.0135384 43.2625721, -2.9918617 43.3629885, -2.9468923 43.3716702, -2.873842 43.3628642, -2.8584142 43.3582677, -2.8565346 43.3131432, -2.8737452 43.2834565, -2.9162093 43.2346822, -2.9392864 43.2279601))	false
4	0	21	POLYGON ((-2.560705 42.9853471, -2.5621641 42.98623, -2.5573362 42.9925672, -2.5568963 42.9931244, -2.5536401 42.9926889, -2.5521488 42.9909938, -2.5523204 42.9895498, -2.5529051 42.9887297, -2.5570038 42.9861516, -2.560705 42.9853471))	true
5	1	1111	POLYGON ((-0.0809253 43.0221923, -0.128326 43.0977506, -0.0795071 43.1345725, 0.0243087 43.1459086, 0.0211376 43.1150634, 0.0077603 43.0692892, -0.0809253 43.0221923))	false
6	0	2	POLYGON ((-2.0805491770414535 43.1041846827571, -2.080579330300188 43.1041763370599, -2.08061058671566 43.10417771769958, -2.080639886692148 43.1041886895295, -2.080664362143808 43.104208178550515, -2.0806816172429006 43.104234277041456, -2.080689962940104 43.10426443030019, -2.0806885823004277 43.104295686715666, -2.0806776104705027 43.10432498669215, -2.080658121449487 43.10434946214381, -2.080632022958546 43.104366717242904, -2.0802945229585466 43.1045203172429, -2.080264369699812 43.104528662940105, -2.08023311328434 43.104527282300424, -2.080203813307852 43.1045163104705, -2.080179337856192 43.10449682144949, -2.0801620827570995 43.104470722958546, -2.080153737059896 43.10444056969981, -2.0801551176995723 43.104409313284336, -2.0801660895294973 43.10438001330785, -2.080185578550513 43.10435553785619, -2.080211677041454 43.1043382827571, -2.0805491770414535 43.1041846827571))	true
7	5	80	POLYGON ((-2.3841465 43.242447, -2.3939892 43.2444096, -2.4016639 43.2575535, -2.3875433 43.2552051, -2.386398 43.2547792, -2.3569384 43.2436492, -2.3841465 43.242447))	false
8	1	402	POLYGON ((-2.6914583 43.193518, -2.7318934 43.1944412, -2.7708179 43.2064156, -2.7497033 43.2640608, -2.7012005 43.2481169, -2.6795656 43.1970645, -2.6801674 43.1948363, -2.6914583 43.193518))	false
9	0	5	POLYGON ((-2.7482187 43.2289101, -2.7561977 43.2302337, -2.7581029 43.2305833, -2.7535508 43.2304285, -2.7482187 43.2289101))	true
10	0	2	POLYGON ((-2.1267520318522672 43.07003390014137, -2.1267829417377553 43.070038742522314, -2.1268108424077616 43.070052899580176, -2.1268330027503106 43.07007498552349, -2.126847253556673 43.07010283842625, -2.1268521998586314 43.070133731852266, -2.126847357477687 43.070164641737755, -2.126833200419825 43.07019254240777, -2.126811114476508 43.07021470275031, -2.126783261573749 43.07022895355667, -2.1267523681477325 43.070233899858636, -2.1242545681477325 43.070238099858635, -2.1242236582622445 43.07023325747769, -2.124195757592238 43.07021910041983, -2.124173597249689 43.07019701447651, -2.1241593464433266 43.07016916157375, -2.1241544001413684 43.07013826814774, -2.1241592425223126 43.07010735826225, -2.1241733995801746 43.070079457592236, -2.124195485523492 43.07005729724969, -2.1242233384262508 43.07004304644333, -2.1242542318522672 43.07003810014137, -2.1267520318522672 43.07003390014137))	true
11	0	28	POLYGON ((-1.8491569 43.3168559, -1.8504962 43.3168643, -1.8501804 43.3202848, -1.8483204 43.3200973, -1.8480568 43.3199884, -1.8478141 43.3194114, -1.8480322 43.3186942, -1.8491569 43.3168559))	true
